# ground truth trajectory
# file: 'rgbd_dataset_freiburg1_plant.bag'
# timestamp tx ty tz qx qy qz qw
1305032353.9995 0.9103 -0.4194 0.8024 -0.2633 -0.5652 0.6988 0.3507
1305032354.0096 0.9110 -0.4192 0.8059 -0.2648 -0.5675 0.6959 0.3514
1305032354.0195 0.9119 -0.4190 0.8094 -0.2666 -0.5715 0.6918 0.3518
1305032354.0296 0.9125 -0.4187 0.8129 -0.2669 -0.5739 0.6893 0.3524
1305032354.0396 0.9135 -0.4185 0.8166 -0.2675 -0.5760 0.6870 0.3532
1305032354.0495 0.9144 -0.4181 0.8204 -0.2673 -0.5785 0.6848 0.3534
1305032354.0596 0.9154 -0.4180 0.8241 -0.2669 -0.5795 0.6843 0.3530
1305032354.0696 0.9164 -0.4178 0.8281 -0.2667 -0.5814 0.6832 0.3523
1305032354.0796 0.9176 -0.4173 0.8319 -0.2672 -0.5850 0.6806 0.3509
1305032354.0896 0.9187 -0.4170 0.8359 -0.2683 -0.5882 0.6780 0.3498
1305032354.0996 0.9197 -0.4166 0.8399 -0.2697 -0.5910 0.6753 0.3493
1305032354.1096 0.9207 -0.4163 0.8441 -0.2708 -0.5937 0.6724 0.3493
1305032354.1196 0.9218 -0.4158 0.8482 -0.2734 -0.5977 0.6680 0.3489
1305032354.1296 0.9229 -0.4153 0.8525 -0.2759 -0.6017 0.6638 0.3483
1305032354.1396 0.9238 -0.4149 0.8570 -0.2783 -0.6042 0.6608 0.3477
1305032354.1496 0.9247 -0.4145 0.8616 -0.2808 -0.6062 0.6583 0.3469
1305032354.1597 0.9259 -0.4138 0.8662 -0.2842 -0.6094 0.6551 0.3445
1305032354.1696 0.9269 -0.4131 0.8707 -0.2876 -0.6123 0.6522 0.3421
1305032354.1796 0.9279 -0.4128 0.8756 -0.2903 -0.6135 0.6510 0.3398
1305032354.1897 0.9289 -0.4118 0.8804 -0.2928 -0.6163 0.6483 0.3378
1305032354.1997 0.9300 -0.4112 0.8853 -0.2962 -0.6182 0.6459 0.3360
1305032354.2097 0.9311 -0.4104 0.8902 -0.2982 -0.6206 0.6437 0.3340
1305032354.2197 0.9324 -0.4098 0.8951 -0.3011 -0.6236 0.6405 0.3319
1305032354.2297 0.9334 -0.4091 0.9000 -0.3034 -0.6270 0.6368 0.3307
1305032354.2396 0.9346 -0.4084 0.9051 -0.3050 -0.6298 0.6337 0.3298
1305032354.2496 0.9359 -0.4077 0.9103 0.3069 0.6327 -0.6303 -0.3288
1305032354.2597 0.9370 -0.4070 0.9157 0.3083 0.6345 -0.6279 -0.3287
1305032354.2696 0.9384 -0.4064 0.9214 0.3101 0.6366 -0.6252 -0.3281
1305032354.2797 0.9398 -0.4054 0.9269 0.3106 0.6379 -0.6237 -0.3281
1305032354.2897 0.9412 -0.4046 0.9325 0.3102 0.6392 -0.6226 -0.3281
1305032354.2997 0.9430 -0.4037 0.9382 0.3107 0.6413 -0.6207 -0.3271
1305032354.3097 0.9438 -0.4029 0.9440 0.3090 0.6412 -0.6207 -0.3289
1305032354.3197 0.9453 -0.4021 0.9496 0.3092 0.6427 -0.6190 -0.3288
1305032354.3297 0.9470 -0.4013 0.9553 0.3090 0.6456 -0.6167 -0.3278
1305032354.3397 0.9479 -0.4005 0.9612 0.3076 0.6469 -0.6155 -0.3287
1305032354.3497 0.9498 -0.3997 0.9670 0.3083 0.6497 -0.6122 -0.3287
1305032354.3597 0.9510 -0.3985 0.9726 0.3071 0.6515 -0.6103 -0.3299
1305032354.3697 0.9527 -0.3972 0.9785 0.3057 0.6555 -0.6067 -0.3298
1305032354.3798 0.9539 -0.3970 0.9847 0.3054 0.6549 -0.6070 -0.3308
1305032354.3897 0.9552 -0.3961 0.9906 0.3049 0.6561 -0.6054 -0.3316
1305032354.3997 0.9566 -0.3953 0.9967 0.3047 0.6573 -0.6037 -0.3327
1305032354.4097 0.9578 -0.3946 1.0026 0.3033 0.6586 -0.6028 -0.3331
1305032354.4197 0.9589 -0.3940 1.0083 0.3029 0.6589 -0.6026 -0.3333
1305032354.4298 0.9601 -0.3932 1.0140 0.3024 0.6599 -0.6011 -0.3342
1305032354.4398 0.9613 -0.3923 1.0195 0.3026 0.6623 -0.5984 -0.3343
1305032354.4498 0.9624 -0.3917 1.0251 0.3033 0.6639 -0.5960 -0.3346
1305032354.4598 0.9637 -0.3909 1.0305 0.3045 0.6663 -0.5930 -0.3343
1305032354.4698 0.9649 -0.3901 1.0358 0.3050 0.6685 -0.5902 -0.3342
1305032354.4798 0.9658 -0.3894 1.0412 0.3062 0.6697 -0.5881 -0.3344
1305032354.4898 0.9668 -0.3887 1.0466 0.3078 0.6716 -0.5856 -0.3337
1305032354.4997 0.9680 -0.3878 1.0517 0.3092 0.6737 -0.5828 -0.3330
1305032354.5098 0.9687 -0.3873 1.0570 0.3113 0.6740 -0.5813 -0.3331
1305032354.5198 0.9700 -0.3864 1.0618 0.3146 0.6764 -0.5773 -0.3321
1305032354.5298 0.9707 -0.3860 1.0670 0.3165 0.6781 -0.5746 -0.3314
1305032354.5398 0.9716 -0.3852 1.0717 0.3202 0.6810 -0.5700 -0.3298
1305032354.5498 0.9720 -0.3848 1.0764 0.3230 0.6823 -0.5673 -0.3290
1305032354.5598 0.9728 -0.3842 1.0809 0.3268 0.6856 -0.5628 -0.3263
1305032354.5698 0.9732 -0.3838 1.0856 0.3302 0.6869 -0.5599 -0.3250
1305032354.5798 0.9738 -0.3829 1.0901 0.3341 0.6891 -0.5564 -0.3224
1305032354.5898 0.9748 -0.3818 1.0941 0.3375 0.6921 -0.5526 -0.3190
1305032354.5998 0.9754 -0.3814 1.0985 0.3414 0.6924 -0.5510 -0.3168
1305032354.6098 0.9759 -0.3809 1.1028 0.3453 0.6933 -0.5487 -0.3147
1305032354.6198 0.9764 -0.3806 1.1072 0.3489 0.6942 -0.5467 -0.3122
1305032354.6299 0.9766 -0.3802 1.1114 0.3518 0.6954 -0.5444 -0.3104
1305032354.6398 0.9771 -0.3797 1.1155 0.3543 0.6974 -0.5415 -0.3080
1305032354.6498 0.9774 -0.3792 1.1197 0.3567 0.6988 -0.5392 -0.3061
1305032354.6607 0.9777 -0.3789 1.1238 0.3590 0.6994 -0.5379 -0.3045
1305032354.6698 0.9781 -0.3783 1.1279 0.3612 0.7013 -0.5352 -0.3022
1305032354.6798 0.9784 -0.3779 1.1320 0.3634 0.7030 -0.5329 -0.2995
1305032354.6899 0.9787 -0.3775 1.1361 0.3651 0.7047 -0.5308 -0.2972
1305032354.6999 0.9786 -0.3771 1.1401 0.3659 0.7063 -0.5293 -0.2951
1305032354.7099 0.9788 -0.3768 1.1441 0.3666 0.7083 -0.5274 -0.2929
1305032354.7199 0.9789 -0.3765 1.1482 0.3674 0.7103 -0.5254 -0.2906
1305032354.7299 0.9790 -0.3763 1.1524 0.3679 0.7124 -0.5233 -0.2885
1305032354.7399 0.9791 -0.3759 1.1564 0.3678 0.7147 -0.5212 -0.2868
1305032354.7499 0.9791 -0.3756 1.1605 0.3671 0.7165 -0.5201 -0.2853
1305032354.7600 0.9796 -0.3748 1.1649 0.3670 0.7193 -0.5171 -0.2839
1305032354.7699 0.9797 -0.3744 1.1691 0.3661 0.7205 -0.5163 -0.2832
1305032354.7799 0.9798 -0.3738 1.1734 0.3648 0.7220 -0.5154 -0.2829
1305032354.7899 0.9803 -0.3729 1.1778 0.3642 0.7243 -0.5125 -0.2828
1305032354.7999 0.9804 -0.3723 1.1823 0.3619 0.7265 -0.5115 -0.2822
1305032354.8101 0.9806 -0.3717 1.1866 0.3608 0.7279 -0.5104 -0.2821
1305032354.8199 0.9808 -0.3710 1.1912 0.3591 0.7293 -0.5095 -0.2820
1305032354.8299 0.9812 -0.3702 1.1956 0.3580 0.7316 -0.5075 -0.2812
1305032354.8400 0.9812 -0.3694 1.2000 0.3570 0.7330 -0.5062 -0.2811
1305032354.8500 0.9814 -0.3684 1.2044 0.3562 0.7348 -0.5041 -0.2811
1305032354.8600 0.9815 -0.3676 1.2088 0.3548 0.7371 -0.5021 -0.2805
1305032354.8699 0.9817 -0.3668 1.2131 0.3536 0.7394 -0.4998 -0.2801
1305032354.8799 0.9818 -0.3659 1.2175 0.3519 0.7417 -0.4979 -0.2795
1305032354.8900 0.9818 -0.3652 1.2219 0.3498 0.7433 -0.4970 -0.2795
1305032354.8999 0.9819 -0.3643 1.2262 0.3483 0.7454 -0.4955 -0.2786
1305032354.9100 0.9819 -0.3634 1.2305 0.3473 0.7477 -0.4933 -0.2776
1305032354.9200 0.9819 -0.3626 1.2348 0.3458 0.7504 -0.4908 -0.2765
1305032354.9301 0.9819 -0.3617 1.2391 0.3442 0.7539 -0.4875 -0.2749
1305032354.9400 0.9817 -0.3611 1.2432 0.3426 0.7571 -0.4843 -0.2737
1305032354.9500 0.9816 -0.3603 1.2474 0.3407 0.7600 -0.4812 -0.2735
1305032354.9603 0.9816 -0.3593 1.2518 0.3383 0.7630 -0.4781 -0.2733
1305032354.9700 0.9811 -0.3587 1.2563 0.3355 0.7639 -0.4779 -0.2749
1305032354.9800 0.9808 -0.3578 1.2606 0.3329 0.7654 -0.4766 -0.2759
